index,location,description,secs,category,CDNumber,CDName,tracknum,isCrowd,bitRate,isStereo,duration
16,07003057.wav,"Laughter & applause. (Recorded in Broadcasting House Concert Hall, London)",28,,EC1C15,Crowds: Interior,5,1,44100,2,28.493333333333332
17,07003058.wav,"Sound of audience leaving auditorium. (Recorded in Broadcasting House Concert Hall, London)",197,,EC1C15,Crowds: Interior,6,1,44100,2,196.56
18,07003059.wav,"Audience murmur (Recorded in Broadcasting House Concert Hall, London)",386,,EC1C15,Crowds: Interior,7,1,44100,2,384.3333333333333
19,07003067.wav,Atmosphere in a large cafeteria at London Zoo. Mixed crowd & children,368,,EC1C17,Crowds: Interior,1,1,44100,2,367.50666666666666
20,07003068.wav,Atmosphere in reptile house at London Zoo. Children,365,,EC1C17,Crowds: Interior,2,1,44100,2,364.81333333333333
21,07003069.wav,Crowd atmosphere in a busy museum.,381,,EC1C18,Crowds: Interior,1,1,44100,2,380.81333333333333
22,07003070.wav,Crowd atmosphere in an exhibition hall.,372,,EC1C18,Crowds: Interior,2,1,44100,2,372.49333333333334
23,07003073.wav,"Big top crowd atmosphere, mainly indistinct speech with generator in background.",393,,EC1C20,Circus,1,1,44100,2,392.49333333333334
24,07003084.wav,"Atmosphere in crowded tea marquee. (Technical note, for use at low level)",394,,EC1C23,Atmospheres,1,1,44100,2,393.8
25,07003086.wav,Crowd arrives for meeting in hall.,392,,EC1C24,Meeting,1,1,44100,2,392.04
26,07003092.wav,"Woolworths: Crowds and manual cash registers, ",395,Shops: Woolworths,EC1C26,Shops: Supermarket,3,1,44100,2,394.92
27,07003093.wav,Crowd in hamburger fast food store.,394,,EC1C27,Crowds: Interior,1,1,44100,2,394.46666666666664
28,07003094.wav,Subdued crowd in abbey.,394,,EC1C27,Crowds: Interior,2,1,44100,2,393.82666666666665
29,07003095.wav,Mixed crowd in hotel foyer.,393,,EC1C28,Crowds,1,1,44100,2,392.70666666666665
30,07003096.wav,Political Party Conference: Applause,16,Political Party Conference,EC1C28,Crowds,2,1,44100,2,16.226666666666667
31,07003097.wav,Political Party Conference: Applause,10,Political Party Conference,EC1C28,Crowds,3,1,44100,2,10.026666666666667
32,07003098.wav,Political Party Conference: Applause,12,Political Party Conference,EC1C28,Crowds,4,1,44100,2,12.173333333333334
33,07003099.wav,Political Party Conference: Applause,13,Political Party Conference,EC1C28,Crowds,5,1,44100,2,12.346666666666666
34,07003100.wav,Political Party Conference: Applause,17,Political Party Conference,EC1C28,Crowds,6,1,44100,2,17.106666666666666
35,07003101.wav,Political Party Conference: Applause,19,Political Party Conference,EC1C28,Crowds,7,1,44100,2,19.293333333333333
36,07003102.wav,Crowds in large entrance hall with turnstiles.,446,,EC1C29,Crowds: Interior,1,1,44100,2,446.06666666666666
37,07003103.wav,"Crowds in large entrance hall, with turnstiles at close perspective.",412,,EC1C29,Crowds: Interior,2,1,44100,2,412.05333333333334
38,07003104.wav,Large exhibition hall with occasional indistinct music and P.A.,371,,EC1C30,Crowds: Interior,1,1,44100,2,371.32
39,07003105.wav,Large hall with jumble sale.,383,,EC1C30,Crowds: Interior,2,1,44100,2,382.48
40,07003106.wav,Playhouse Theatre: Applause.,10,Playhouse Theatre: Applause,EC1C60,Crowds: Interior,1,1,44100,2,10.213333333333333
41,07003107.wav,Playhouse Theatre: Laughter and applause.,10,Playhouse Theatre: Laughter and applause,EC1C60,Crowds: Interior,2,1,44100,2,9.52
42,07003108.wav,Playhouse Theatre: Laughter.,8,Playhouse Theatre: Laughter,EC1C60,Crowds: Interior,3,1,44100,2,8.253333333333334
43,07003109.wav,Playhouse Theatre: Laughter and applause.,13,Playhouse Theatre: Laughter and applause,EC1C60,Crowds: Interior,4,1,44100,2,13.106666666666667
44,07003110.wav,Playhouse Theatre: Applause.,10,Playhouse Theatre: Applause,EC1C60,Crowds: Interior,5,1,44100,2,10.16
45,07003111.wav,Playhouse Theatre: Applause.,9,Playhouse Theatre: Applause,EC1C60,Crowds: Interior,6,1,44100,2,9.093333333333334
46,07003112.wav,Playhouse Theatre: English & French audience chatter,392,Playhouse Theatre,EC1C60,Crowds: Interior,7,1,44100,2,389.3466666666667
47,07005086.wav,Crowd panic and rush for exits. (Specially created effect),21,,EC7E,Comedy Sounds,7,1,44100,2,19.932108843537414
48,07005123.wav,Crowd panic. (Specially created effect),21,,EC7H,Comedy Sounds,8,1,44100,2,20.257142857142856
49,07005183.wav,Small crowd in London suburban pub.,356,,EC9B,Public Houses,1,1,44100,2,354.59079365079367
50,07005184.wav,Medium-sized crowd in London suburban pub.,364,,EC9B,Public Houses,2,1,44100,2,362.6960090702948
51,07006133.wav,"London Stock Exchange, atmosphere on floor during trading.",389,,EC37G,Indoor Crowds,1,1,44100,2,386.561179138322
52,07006134.wav,"Birmingham Stock Exchange, atmosphere on floor during trading.",162,,EC37G,Indoor Crowds,2,1,44100,2,160.3436961451247
53,07006135.wav,Large crowd murmuring in a large room with echo.,204,,EC37G,Indoor Crowds,3,1,44100,2,202.452947845805
54,07008087.wav,Large German crowd cheering. (From 78rpm record),63,,EC500T,World War II: Nau Crowd,1,1,44100,2,60.6249433106576
55,07008088.wav,"Large German crowd cheering and shouting ""Sieg Heil"". (From 78rpm record)",180,,EC500T,World War II: Nau Crowd,2,1,44100,2,178.02993197278911
56,07008089.wav,"Goosestep marching, with orders in German. (From 78 rpm record)",41,,EC500T,World War II: Nau Crowd,3,1,44100,2,39.02
57,07008090.wav,"Goosestep marching, with orders in German. (From 78 rmp record)",20,,EC500T,World War II: Nau Crowd,4,1,44100,2,18.52
58,07008091.wav,"Large German crowd shouting ""Sieg heil"". (From 78 rpm record)",73,,EC500T,World War II: Nau Crowd,5,1,44100,2,71.24
59,07008092.wav,"Large German crowd shouting ""Sieg Heil"". (From 78rpm record)",40,,EC500T,World War II: Nau Crowd,6,1,44100,2,38.88
60,07008093.wav,Large German crowd cheering. (From 78 rpm record),60,,EC500T,World War II: Nau Crowd,7,1,44100,2,58.18
61,07008094.wav,Large German crowd cheering and shouting slogan. (From 78 rpm record),68,,EC500T,World War II: Nau Crowd,8,1,44100,2,66.66
62,07008102.wav,Tank procession with crowds cheering. World War II. (From 78 rpm record),80,,EC500U,Tanks: World War II,8,1,44100,2,78.23873015873016
63,07013061.wav,"Football League match in progress, crowd reaction. (Selhurst Park, Crystal Palace FC.)",362,,EC33A,Crowds At Rugby Football Match,1,1,44100,2,360.0948752834467
64,07013062.wav,"Rugby union match in progress, crowd reaction with some quiet periods. (Twickenham Stadium.)",360,,EC33A,Crowds At Rugby Football Match,2,1,44100,2,358.57560090702947
65,07013063.wav,"German association football match in progress, crowd reaction with whistles and horns. (Participating team and location unknown.)",363,,EC33B,Sports Crowd,1,1,44100,2,361.1695238095238
66,07013064.wav,Sports crowd at German sports meeting. (Location unknown.),363,,EC33B,Sports Crowd,2,1,44100,2,361.4904308390023
67,07013065.wav,"Football League match , crowd of 20,000 before kick-off.",179,,EC33C,Professional League Football,1,1,44100,2,177.2077551020408
68,07013066.wav,"Football League match, half-time whistle and crowd reaction.",200,,EC33C,Professional League Football,2,1,44100,2,198.02
69,07013067.wav,"Football League match, final whistle and crowd disperses.",359,,EC33C,Professional League Football,3,1,44100,2,357.3
70,07013072.wav,"Football League match, whistle, angry crowd.",29,,EC33D,Professional League Football,5,1,44100,2,27.3
71,07013075.wav,"Local football match, small enthusiastic crowd.",402,,EC33E,Local Football Match,1,1,44100,2,400.08
72,07013077.wav,"Local football match, end of match with cheers and dispersal of crowd.",105,,EC33E,Local Football Match,3,1,44100,2,103.62
73,07013078.wav,"Local football match, angry crowd.",21,,EC33E,Local Football Match,4,1,44100,2,19.42
74,07013090.wav,"1966 F.A. Cup final, general atmosphere with constant crowd background and highlights. (Everton v Sheffield Wednesday, Wembley Stadium.)",401,,EC33G,"F.A. Cup Final: Wembley, 1966",2,1,44100,2,399.88
75,07013098.wav,"1966 F.A. Cup Final, frustrated crowd. (Everton v Sheffield Wednesday, Wembley Stadium.)",47,,EC33H,"F.A. Cup Final: Wembley, 1966",8,1,44100,2,45.94004535147392
76,07015003.wav,"Beirut vegetable market, busy crowd atmosphere with stall holders' cries.",227,,EC51B,Middle East Crowds,1,1,44100,2,225.03428571428572
77,07015004.wav,"Beirut restaurant, indistinct speech with crockery sounds.",210,,EC51B,Middle East Crowds,2,1,44100,2,208.66
78,07015005.wav,"Beirut fruit market, busy crowd atmosphere with some distinct speech.",206,,EC51B,Middle East Crowds,3,1,44100,2,203.46
79,07015006.wav,"Beirut clothes market, crowd atmosphere with occasional cries from stall holders.",208,,EC51B,Middle East Crowds,4,1,44100,2,205.98956916099775
80,07015007.wav,"Vietnam, crowd at checkpoint, some birdsong.",211,,EC51C,Foreign Crowds,1,1,44100,2,209.27
81,07015008.wav,"Vietnam, Tiger Street Market, busy crowd atmosphere.",212,,EC51C,Foreign Crowds,2,1,44100,2,209.96
82,07015009.wav,"Macao, junk village, crowd atmosphere with occasional traffic.",213,,EC51C,Foreign Crowds,3,1,44100,2,210.88
83,07015010.wav,"Kano, Nigeria, crowd leaving mosque, busy atmosphere with some children.",207,,EC51C,Foreign Crowds,4,1,44100,2,205.2307482993197
84,07015011.wav,"Tangier, tourist cafe general atmosphere.",221,,EC51D,Arabic Crowds: Tangier,1,1,44100,2,218.73950113378686
85,07015012.wav,"Tangier, tourist cafe general atmosphere.",211,,EC51D,Arabic Crowds: Tangier,2,1,44100,2,208.99337868480725
86,07015013.wav,"Tangier, blind beggar actuality.",60,,EC51D,Arabic Crowds: Tangier,3,1,44100,2,58.19337868480726
87,07015014.wav,"Tangier, atmosphere in fruit market.",157,,EC51D,Arabic Crowds: Tangier,4,1,44100,2,154.59337868480725
88,07015015.wav,"Tangier, atmosphere in Casbah market.",154,,EC51D,Arabic Crowds: Tangier,5,1,44100,2,152.21514739229025
89,07015016.wav,"Valletta, crowds promending.",394,,EC51E,Maltese Crowds,1,1,44100,2,391.8467120181406
90,07015017.wav,"Valletta, crowds promending. with tolling bells.",393,,EC51E,Maltese Crowds,2,1,44100,2,391.4225850340136
91,07015018.wav,"Helsinki, busy street market atmosphere with traffic.",395,,EC51F,Finnish Crowds,1,1,44100,2,391.3448752834467
92,07015019.wav,"Helsinki, railway station atmosphere with trains arriving & departing, occasional public address.",393,,EC51F,Finnish Crowds,2,1,44100,2,390.87065759637187
93,07015020.wav,"Israel, crowd atmosphere in cinema before performance.",202,,EC51G,Middle East Crowds,1,1,44100,2,200.11689342403628
94,07015021.wav,"Israel, crowd atmosphere in a large communal hall.",196,,EC51G,Middle East Crowds,2,1,44100,2,193.85
95,07015022.wav,"Cairo, atmosphere in large hall.",389,,EC51G,Middle East Crowds,3,1,44100,2,386.50111111111113
96,07015023.wav,"Beirut, traffic & crowds with occasional cries from newspaper sellers.",403,,EC51H,Beirut (Lebanon),1,1,44100,2,401.00412698412697
97,07015024.wav,"Beirut, busy road junction, with horns & crowd atmosphere.",402,,EC51H,Beirut (Lebanon),2,1,44100,2,400.25804988662134
98,07015025.wav,"Barbados, exterior, general atmosphere at bus stop, with speech & traffic.",187,,EC51J,West Indian Crowds (Indoors),1,1,44100,2,184.2228117913832
99,07015026.wav,"Barbados, exterior, street atmosphere, with traffic & voices.",183,,EC51J,West Indian Crowds (Indoors),2,1,44100,2,180.19
100,07015027.wav,"Interior, cheerful mixed conversation, spoken in English with West Indian accent.",123,,EC51J,West Indian Crowds (Indoors),3,1,44100,2,121.24
101,07015028.wav,"Interior, subdued mixed conversation, spoken in English with West Indian accent.",127,,EC51J,West Indian Crowds (Indoors),4,1,44100,2,124.73995464852608
102,07015029.wav,"Interior, conversational mixed speech, spoken in English with West Indian accent.",88,,EC51J,West Indian Crowds (Indoors),5,1,44100,2,86.36410430839003
103,07015030.wav,"Nigeria, speech with tom-tom drums.",80,,EC51K,Nigerian Crowds,1,1,44100,2,76.88414965986395
104,07015031.wav,"Nigeria, large crowd, mixed chatter.",80,,EC51K,Nigerian Crowds,2,1,44100,2,77.35342403628118
105,07015032.wav,"Nigeria, large mixed crowd, distant traffic. (Tom-tom drums audible from 1'20"" to end.)",193,,EC51K,Nigerian Crowds,3,1,44100,2,191.02616780045352
106,07015033.wav,"Nigeria, large crowd cheering.",22,,EC51K,Nigerian Crowds,4,1,44100,2,20.200408163265305
107,07015034.wav,"Nigeria, village chatter, medium-sized crowd.",80,,EC51K,Nigerian Crowds,5,1,44100,2,78.19596371882086
108,07015035.wav,"Nigeria, village welcome, singing with tom-tom drum accompaniment.",67,,EC51K,Nigerian Crowds,6,1,44100,2,65.36
109,07015036.wav,"Nigeria, excited crowd.",32,,EC51K,Nigerian Crowds,7,1,44100,2,29.96
110,07015037.wav,"Lagos, native quarter with traffic & crowd atmosphere.",99,,EC51K,Nigerian Crowds,8,1,44100,2,96.98
111,07015038.wav,"Downtown Lagos, busy traffic & crowd atmosphere",75,,EC51K,Nigerian Crowds,9,1,44100,2,72.63451247165533
112,07015044.wav,"Ethiopia, small crowd in local cafe, distinct speech & occasional singing in Amharic & Galligna languages.",322,,EC51M,Ethiopia,3,1,44100,2,319.12172335600906
113,07015047.wav,"Ethiopia, crowd singing & dancing with tom-tom drum accompaniment.",187,,EC51N,Ethiopia,3,1,44100,2,185.64
114,07016238.wav,"Newbury Race Course, crowd atmosphere with commentary & results on P.A. system. (Indistinct P.A. at times.) (Flat racing.)",141,,EC53B,Horse (Flat) Racing,2,1,44100,2,139.04562358276644
115,07016240.wav,"Newbury Race Course, crowd atmosphere with commentary on P.A. system. (""Under starters orders, they're off', race commentary & photo finish.) (Flat racing.)",119,,EC53B,Horse (Flat) Racing,4,1,44100,2,117.17560090702948
116,07016247.wav,"Newbury Race Course, general course background with busy crowd. (Flat racing.)",393,,EC53D,Horse (Flat) Racing,1,1,44100,2,391.34401360544217
117,07017001.wav,Chatter and footsteps on gravel.,187,,EC40A,Mixed Outdoor Crowds,1,1,44100,2,184.03027210884355
118,07017002.wav,"Chatter and footsteps on gravel, animated.",150,,EC40A,Mixed Outdoor Crowds,2,1,44100,2,147.90031746031747
119,07017003.wav,General chatter.,184,,EC40A,Mixed Outdoor Crowds,3,1,44100,2,182.10988662131518
120,07017004.wav,Cheerful chatter.,186,,EC40A,Mixed Outdoor Crowds,4,1,44100,2,183.30349206349206
121,07017005.wav,Large excited carnival crowd with frequent cheering.,337,,EC40B,Crowd In Marquee,1,1,44100,2,335.3497278911565
122,07017006.wav,"Large crowd in marquee, indistinct busy speech.",148,,EC40B,Crowd In Marquee,2,1,44100,2,146.1078684807256
123,07017007.wav,"Large crowd in marquee, indistinct busy speech.",215,,EC40B,Crowd In Marquee,3,1,44100,2,212.49233560090704
124,07017008.wav,Mixed excited chatter with laughter and occasional distinct speech.,387,,EC40C,Outdoor Crowd,1,1,44100,2,385.7178004535147
125,07017009.wav,"One hundred men, constant background of excited chatter with laughter and occasional distinct speech.",393,,EC40C,Outdoor Crowd,2,1,44100,2,391.0566893424036
126,07017010.wav,"Large crowd of men rioting, with boos and shouts. (No gunfire.)",392,,EC40D,Mixed Outdoor Crowd,1,1,44100,2,389.14650793650793
127,07017011.wav,"Three hundred people rioting, with boos and shouts. (No gunfire.)",363,,EC40D,Mixed Outdoor Crowd,2,1,44100,2,361.5051700680272
128,07017012.wav,"Group of 16-19 year old boys talking, occasional pauses and footsteps.",198,,EC40E,Outdoor Crowds: Boys,1,1,44100,2,195.59142857142857
129,07017013.wav,"Group of 16-19 year old boys talking, occasional laughter.",199,,EC40E,Outdoor Crowds: Boys,2,1,44100,2,197.21285714285713
130,07017014.wav,"Group of boys assembling with speech, laughter and footsteps on gravel.",200,,EC40E,Outdoor Crowds: Boys,3,1,44100,2,198.00233560090703
131,07017015.wav,"Group of youthful supporters with occasional speech and cheering. (Suggested use, sports meetings, fetes)",202,,EC40E,Outdoor Crowds: Boys,4,1,44100,2,200.1089342403628
132,07017016.wav,Excited chatter from large crowd. (Wide perspective),401,,EC40F,Outdoor Crowd,1,1,44100,2,397.1742403628118
133,07017017.wav,"Crowd at International Ladies Hockey Match, including approx 60,000 girls. (General match atmosphere at Wembley, 1961)",396,,EC40F,Outdoor Crowd,2,1,44100,2,393.7391383219955
134,07017018.wav,Applause from thirty people.,9,,EC40G,Outdoor Crowds (30 People) ,1,1,44100,2,6.333310657596372
135,07017019.wav,Applause from thirty people.,12,,EC40G,Outdoor Crowds (30 People) ,2,1,44100,2,10.24
136,07017020.wav,Applause from thirty people.,13,,EC40G,Outdoor Crowds (30 People) ,3,1,44100,2,11.28
137,07017021.wav,Two long bursts of mixed cheering. (Thirty people.),26,,EC40G,Outdoor Crowds (30 People) ,4,1,44100,2,24.12
138,07017022.wav,One burst of mixed cheering. (Thirty people.),25,,EC40G,Outdoor Crowds (30 People) ,5,1,44100,2,23.1
139,07017023.wav,Three cheers from group of men. (Thirty men.),11,,EC40G,Outdoor Crowds (30 People) ,6,1,44100,2,9.06
140,07017024.wav,Three cheers from mixed group of people. (Thirty people.),15,,EC40G,Outdoor Crowds (30 People) ,7,1,44100,2,12.28
141,07017025.wav,Three cheers from group of women. (Thirty women.),12,,EC40G,Outdoor Crowds (30 People) ,8,1,44100,2,10.7
142,07017026.wav,Mixed continuous outdoor laughter. (Thirty people.),45,,EC40G,Outdoor Crowds (30 People) ,9,1,44100,2,42.28
143,07017027.wav,Mixed cheerful chatter. (Thirty people.),187,,EC40G,Outdoor Crowds (30 People) ,10,1,44100,2,184.9512925170068
144,07017028.wav,"General atmosphere of crowd at protest meeting. (6000 people, recorded outdoors in England.)",395,,EC40H,Crowd Of 6000 At Protest Meeting,1,1,44100,2,393.4757596371882
145,07017029.wav,"Cheers and applause at protest meeting. (6000 people, recorded outdoors in England.)",17,,EC40H,Crowd Of 6000 At Protest Meeting,2,1,44100,2,14.567165532879818
146,07017030.wav,"Cheers and applause at protest meeting. (6000 people, recorded outdoors in England.)",15,,EC40H,Crowd Of 6000 At Protest Meeting,3,1,44100,2,13.52
147,07017031.wav,"Cheers and applause at protest meeting. (6000 people, recorded outdoors in England.)",14,,EC40H,Crowd Of 6000 At Protest Meeting,4,1,44100,2,11.64
148,07017032.wav,"Mild applause at protest meeting. (6000 people, recorded outdoors in England.)",8,,EC40H,Crowd Of 6000 At Protest Meeting,5,1,44100,2,6.45
149,07017033.wav,"Crowd at protest meeting saying 'Aye'. (6000 people, recorded outdoors in England.)",13,,EC40H,Crowd Of 6000 At Protest Meeting,6,1,44100,2,10.48
150,07017034.wav,"Laughter into applause and whistles at protest meeting. (6000 people, recorded outdoors in England.)",19,,EC40H,Crowd Of 6000 At Protest Meeting,7,1,44100,2,17.585238095238097
151,07017035.wav,"Cheers and applause at protest meeting. (6000 people, recorded outdoors in England.)",12,,EC40J,Crowd Of 6000 At Protest Meeting,1,1,44100,2,10.126485260770975
152,07017036.wav,"Cheers and applause at protest meeting. (6000 people, recorded outdoors in England.)",18,,EC40J,Crowd Of 6000 At Protest Meeting,2,1,44100,2,15.8
153,07017037.wav,"Cheers and applause at protest meeting. (6000 people, recorded outdoors in England.)",17,,EC40J,Crowd Of 6000 At Protest Meeting,3,1,44100,2,14.295034013605441
154,07017038.wav,"Chatter at close of protest meeting. (6000 people, recorded outdoors in England.)",96,,EC40J,Crowd Of 6000 At Protest Meeting,4,1,44100,2,94.58
155,07017039.wav,"Cheers and applause at protest meeting. (6000 people, recorded outdoors in England.)",13,,EC40J,Crowd Of 6000 At Protest Meeting,5,1,44100,2,10.68
156,07017040.wav,"Cheers, applause and whistles at protest meeting. (6000 people, recorded outdoors in England.)",27,,EC40J,Crowd Of 6000 At Protest Meeting,6,1,44100,2,24.7
157,07017041.wav,"Cheers, applause and whistles at protest meeting. (6000 people, recorded outdoors in England.)",23,,EC40J,Crowd Of 6000 At Protest Meeting,7,1,44100,2,20.465034013605443
158,07017042.wav,"Cheers, applause and whistles at protest meeting. (6000 people, recorded outdoors in England.)",29,,EC40J,Crowd Of 6000 At Protest Meeting,8,1,44100,2,26.62
159,07017043.wav,"Cheers and applause at protest meeting. (6000 people, recorded outdoors in England.)",16,,EC40J,Crowd Of 6000 At Protest Meeting,9,1,44100,2,14.618344671201815
160,07017044.wav,"Cheers and applause at protest meeting. (6000 people, recorded outdoors in England.)",17,,EC40J,Crowd Of 6000 At Protest Meeting,10,1,44100,2,15.12
161,07017045.wav,"Cheers and applause at protest meeting. (6000 people, recorded outdoors in England.)",27,,EC40J,Crowd Of 6000 At Protest Meeting,11,1,44100,2,24.40888888888889
162,07017046.wav,"Cheers and applause at protest meeting. (6000 people, recorded outdoors in England.)",36,,EC40J,Crowd Of 6000 At Protest Meeting,12,1,44100,2,34.69269841269841
163,07017047.wav,Large cosmopolitan crowd with speech & footsteps.,366,,EC40K,Indoor Crowds: Small Group (English),1,1,44100,2,363.62201814058955
164,07017048.wav,"Small group, mixed cheerful chatter.",254,,EC40K,Indoor Crowds: Small Group (English),2,1,44100,2,251.51931972789114
165,07017049.wav,Small group arguing. (Some identifiable speech.),123,,EC40K,Indoor Crowds: Small Group (English),3,1,44100,2,121.28909297052154
166,07017180.wav,"Small German crowd, with mixed indoor chatter. (Some distinct speech.)",409,,EC60B,German Crowds,1,1,44100,2,407.084716553288
167,07017181.wav,German crowd in large department store with sounds of tills being used.,407,,EC60B,German Crowds,2,1,44100,2,405.26761904761906
168,07017182.wav,"German crowd, exterior, mixed angry crowd. (Some shouting.)",421,,EC60C,German Crowds,1,1,44100,2,418.5765532879819
169,07017183.wav,"German crowd, exterior, large angry crowd. (Some shouting.)",417,,EC60C,German Crowds,2,1,44100,2,415.59120181405893
170,07018003.wav,"Large Crowd, mainly women, in a hall, with footsteps & indistinct speech.",424,,EC73B,Chatter,1,1,44100,2,422.0925850340136
171,07018004.wav,"Crowd of 36 women, in a hall, with footsteps & indistinct speech.",423,,EC73B,Chatter,2,1,44100,2,421.26503401360543
172,07018005.wav,"Crowd of 100 women, in a hall, with footsteps & indistinct speech.",422,,EC73C,Chatter,1,1,44100,2,420.2115192743764
173,07018006.wav,"Crowd of 40 women, in a hall, with some children. (Close perspective recording.)",421,,EC73C,Chatter,2,1,44100,2,419.13959183673467
174,07018007.wav,"Small crowd, mainly women, general atmosphere with speech & some pauses.",439,,EC73D,Chatter: Women,1,1,44100,2,436.8918820861678
175,07018008.wav,"Small crowd, mainly women, quiet continuous conversation with occassional rattle of teacups.",362,,EC73D,Chatter: Women,2,1,44100,2,360.18349206349205
176,07018009.wav,"Small crowd, mainly women, exclamation during conversation.",10,,EC73D,Chatter: Women,3,1,44100,2,7.577233560090703
177,07018015.wav,"Crowd of 40-50 men & women in hall, continuous serious indistinct speech.",422,,EC73G,Chatter,1,1,44100,2,419.5386394557823
178,07018016.wav,"Crowd of 60 people, mainly men, continuous indistinct speech after meeting in hall.",477,,EC73G,Chatter,2,1,44100,2,475.1375736961451
179,07018017.wav,"Crowd of 40-50 men & women in a hall, angry shouting with occasional pauses.",421,,EC73H,Chatter,1,1,44100,2,419.3094784580499
180,07018018.wav,"Crowd of 40-50 men & women in a hall, loud & angry shouting with occasional pauses.",421,,EC73H,Chatter,2,1,44100,2,418.55619047619047
181,07018019.wav,Twelve Victorian ladies in polite indoor conversation. (Farcical.),138,,EC73J,Crowd Reaction (Farcical),1,1,44100,2,136.0195918367347
182,07018020.wav,Fifteen Victorian ladies in spirited indoor conversation with some laughter. (Farcical.),144,,EC73J,Crowd Reaction (Farcical),2,1,44100,2,142.1465306122449
183,07018021.wav,Six women cheering. (Farcical.),13,,EC73J,Crowd Reaction (Farcical),3,1,44100,2,11.377913832199546
184,07018022.wav,24 men and women cheering. (Farcical.),9,,EC73J,Crowd Reaction (Farcical),4,1,44100,2,6.129478458049887
185,07018023.wav,50 men and women cheering. (Farcical.),16,,EC73J,Crowd Reaction (Farcical),5,1,44100,2,13.54
186,07018024.wav,Six men cheering. (Farcical.),10,,EC73J,Crowd Reaction (Farcical),6,1,44100,2,7.98
187,07018025.wav,"Nine men and women saying 'Hear, hear'. (Farcical.)",7,,EC73J,Crowd Reaction (Farcical),7,1,44100,2,4.82
188,07018026.wav,"Ten men saying  'Hear, hear'. (Farcical.)",8,,EC73J,Crowd Reaction (Farcical),8,1,44100,2,6.2
189,07018027.wav,"Ten women saying  'Hear, hear'. (Farcical.)",8,,EC73J,Crowd Reaction (Farcical),9,1,44100,2,5.780816326530612
191,07018029.wav,"Twelve men saying 'Aye, aye'. (Farcical.)",7,,EC73J,Crowd Reaction (Farcical),11,1,44100,2,4.761179138321996
192,07018030.wav,"Ten women saying 'Aye, aye'. (Farcical.)",7,,EC73J,Crowd Reaction (Farcical),12,1,44100,2,4.974013605442177
193,07018031.wav,"Fifteen men and women saying 'No, no'. (Farcical.)",8,,EC73K,Crowd Reaction (Farcical),1,1,44100,2,5.313718820861678
194,07018032.wav,"Fifteen men saying 'No, no'. (Farcical.)",8,,EC73K,Crowd Reaction (Farcical),2,1,44100,2,6.58
195,07018033.wav,"Twelve women saying 'No, no'. (Fracical.)",8,,EC73K,Crowd Reaction (Farcical),3,1,44100,2,5.4
196,07018034.wav,Fifteen men and women booing. (Farcical.),11,,EC73K,Crowd Reaction (Farcical),4,1,44100,2,8.71609977324263
197,07018035.wav,Twelve men booing. (Farcical.),12,,EC73K,Crowd Reaction (Farcical),5,1,44100,2,9.2
